	X54675	X54675.1	gemcitabine.coeff	gemcitabine.pvalue
1/2-SBSRNA4_1569713_at	1/2-SBSRNA4	1569713_at	-1.118068778	0.446256099
1552411_at_1552411_at	1552411_at	1552411_at	1.950310485	0.263816856
1552412_a_at_1552412_a_at	1552412_a_at	1552412_a_at	2.675683634	0.525159526
1552511_a_at_1552511_a_at	1552511_a_at	1552511_a_at	-3.683440947	0.095157976
1552563_a_at_1552563_a_at	1552563_a_at	1552563_a_at	-1.784182534	0.348809028
1552607_at_1552607_at	1552607_at	1552607_at	2.213883466	0.230940089
1552609_s_at_1552609_s_at	1552609_s_at	1552609_s_at	4.152790836	0.278185021
1552622_s_at_1552622_s_at	1552622_s_at	1552622_s_at	-0.70195178	0.366620187
1552641_s_at_1552641_s_at	1552641_s_at	1552641_s_at	-0.218880153	0.805400994
1552703_s_at_1552703_s_at	1552703_s_at	1552703_s_at	-0.927048984	0.022159177
1552717_s_at_1552717_s_at	1552717_s_at	1552717_s_at	0.518406949	0.663942223
1552735_at_1552735_at	1552735_at	1552735_at	-0.221184013	0.619240956
1552806_a_at_1552806_a_at	1552806_a_at	1552806_a_at	7.985882298	0.044309241
1552829_at_1552829_at	1552829_at	1552829_at	0.926550641	0.382685364
1552867_at_1552867_at	1552867_at	1552867_at	0.574357681	0.394602652
1552961_at_1552961_at	1552961_at	1552961_at	2.84836547	0.27382399
1552972_at_1552972_at	1552972_at	1552972_at	-1.375029357	0.263827264
1552974_at_1552974_at	1552974_at	1552974_at	4.87500683	0.150333957
1552975_x_at_1552975_x_at	1552975_x_at	1552975_x_at	-3.86861538	0.4239259
1553002_at_1553002_at	1553002_at	1553002_at	1.865784166	0.553961519
1553083_at_1553083_at	1553083_at	1553083_at	2.615408331	0.130974876
1553269_at_1553269_at	1553269_at	1553269_at	1.139401433	0.040808854
1553275_s_at_1553275_s_at	1553275_s_at	1553275_s_at	-0.424839414	0.434490374
1553340_s_at_1553340_s_at	1553340_s_at	1553340_s_at	0.339393596	0.905283909
1553355_at_1553355_at	1553355_at	1553355_at	-1.290030848	0.679691365
1553356_at_1553356_at	1553356_at	1553356_at	9.423634639	0.041401612
