	X54675	X54675.1	doxorubicin.coeff	doxorubicin.pvalue
1/2-SBSRNA4_1569713_at	1/2-SBSRNA4	1569713_at	-0.790230584	0.302949586
1552411_at_1552411_at	1552411_at	1552411_at	0.946712035	0.315517705
1552412_a_at_1552412_a_at	1552412_a_at	1552412_a_at	0.947254864	0.687565726
1552511_a_at_1552511_a_at	1552511_a_at	1552511_a_at	-2.1402938	0.085490014
1552563_a_at_1552563_a_at	1552563_a_at	1552563_a_at	0.443497152	0.679574956
1552607_at_1552607_at	1552607_at	1552607_at	1.444916877	0.165136378
1552609_s_at_1552609_s_at	1552609_s_at	1552609_s_at	1.551964108	0.443511366
1552622_s_at_1552622_s_at	1552622_s_at	1552622_s_at	-0.10882082	0.800553388
1552641_s_at_1552641_s_at	1552641_s_at	1552641_s_at	-0.453921049	0.357537839
1552703_s_at_1552703_s_at	1552703_s_at	1552703_s_at	-0.522341344	0.023119127
1552717_s_at_1552717_s_at	1552717_s_at	1552717_s_at	-0.715644266	0.267012073
1552735_at_1552735_at	1552735_at	1552735_at	0.211132157	0.387393367
1552806_a_at_1552806_a_at	1552806_a_at	1552806_a_at	4.097640896	0.066795457
1552829_at_1552829_at	1552829_at	1552829_at	0.184121987	0.751890098
1552867_at_1552867_at	1552867_at	1552867_at	0.439765123	0.246296512
1552961_at_1552961_at	1552961_at	1552961_at	0.302205041	0.836982323
1552972_at_1552972_at	1552972_at	1552972_at	-0.224686249	0.749645796
1552974_at_1552974_at	1552974_at	1552974_at	2.476135802	0.200894012
1552975_x_at_1552975_x_at	1552975_x_at	1552975_x_at	0.084512733	0.975620198
1553002_at_1553002_at	1553002_at	1553002_at	0.633379385	0.718132707
1553083_at_1553083_at	1553083_at	1553083_at	0.814813892	0.390876299
1553269_at_1553269_at	1553269_at	1553269_at	1.070790505	0.000305519
1553275_s_at_1553275_s_at	1553275_s_at	1553275_s_at	-0.702559508	0.017041689
1553340_s_at_1553340_s_at	1553340_s_at	1553340_s_at	-0.406689394	0.795446561
1553355_at_1553355_at	1553355_at	1553355_at	-1.218144545	0.44941804
1553356_at_1553356_at	1553356_at	1553356_at	5.23794995	0.046220273
1553366_s_at_1553366_s_at	1553366_s_at	1553366_s_at	1.406094408	0.324146414
1553372_at_1553372_at	1553372_at	1553372_at	0.709301344	0.678308102
1553398_at_1553398_at	1553398_at	1553398_at	-0.513107355	0.806955484
1553432_s_at_1553432_s_at	1553432_s_at	1553432_s_at	0.595490022	0.839259471
1553439_at_1553439_at	1553439_at	1553439_at	-0.623055299	0.717996082
1553456_at_1553456_at	1553456_at	1553456_at	2.749741722	0.228221933
