	X54675	X54675.1	cyclophosphamide.coeff	cyclophosphamide.pvalue
1/2-SBSRNA4_1569713_at	1/2-SBSRNA4	1569713_at	0.536343207	0.052042829
1552411_at_1552411_at	1552411_at	1552411_at	0.153304296	0.712910524
1552412_a_at_1552412_a_at	1552412_a_at	1552412_a_at	-1.84073121	0.086300401
1552511_a_at_1552511_a_at	1552511_a_at	1552511_a_at	0.954826836	0.020553113
1552563_a_at_1552563_a_at	1552563_a_at	1552563_a_at	-0.4310296	0.581893684
1552607_at_1552607_at	1552607_at	1552607_at	-0.337918648	0.550603558
1552609_s_at_1552609_s_at	1552609_s_at	1552609_s_at	-1.782665339	0.023439342
1552622_s_at_1552622_s_at	1552622_s_at	1552622_s_at	-0.099468165	0.557014637
1552641_s_at_1552641_s_at	1552641_s_at	1552641_s_at	0.160764866	0.618269426
1552703_s_at_1552703_s_at	1552703_s_at	1552703_s_at	0.034658519	0.720676816
1552717_s_at_1552717_s_at	1552717_s_at	1552717_s_at	0.250951854	0.303409257
1552735_at_1552735_at	1552735_at	1552735_at	-0.026485303	0.791994559
1552806_a_at_1552806_a_at	1552806_a_at	1552806_a_at	0.6006647	0.688973805
1552829_at_1552829_at	1552829_at	1552829_at	0.117262867	0.645694702
1552867_at_1552867_at	1552867_at	1552867_at	-0.00416927	0.982371104
1552961_at_1552961_at	1552961_at	1552961_at	-1.476743629	0.086660047
1552972_at_1552972_at	1552972_at	1552972_at	-0.021122583	0.937388723
1552974_at_1552974_at	1552974_at	1552974_at	-0.183174977	0.795910228
1552975_x_at_1552975_x_at	1552975_x_at	1552975_x_at	0.639746609	0.639590546
1553002_at_1553002_at	1553002_at	1553002_at	-0.043544471	0.961923051
1553083_at_1553083_at	1553083_at	1553083_at	0.151546897	0.737527565
1553269_at_1553269_at	1553269_at	1553269_at	-0.24164988	0.341288962
1553275_s_at_1553275_s_at	1553275_s_at	1553275_s_at	0.265238277	0.159180141
1553340_s_at_1553340_s_at	1553340_s_at	1553340_s_at	-0.293263968	0.717824536
1553355_at_1553355_at	1553355_at	1553355_at	-0.340451728	0.654233694
1553356_at_1553356_at	1553356_at	1553356_at	-1.931465624	0.06927141
1553366_s_at_1553366_s_at	1553366_s_at	1553366_s_at	0.031544513	0.971233214
1553372_at_1553372_at	1553372_at	1553372_at	-1.266071223	0.167633014
1553398_at_1553398_at	1553398_at	1553398_at	1.11885284	0.316598845
1553432_s_at_1553432_s_at	1553432_s_at	1553432_s_at	-1.85018072	0.302017512
1553439_at_1553439_at	1553439_at	1553439_at	-0.017065113	0.984620151
1553456_at_1553456_at	1553456_at	1553456_at	-1.05273725	0.360238617
1553462_at_1553462_at	1553462_at	1553462_at	-0.105218249	0.935264706
1553468_at_1553468_at	1553468_at	1553468_at	-1.539763543	0.110728679
1553498_at_1553498_at	1553498_at	1553498_at	1.513188067	0.086414189
1553518_at_1553518_at	1553518_at	1553518_at	-0.38849964	0.696114843
1553521_at_1553521_at	1553521_at	1553521_at	-1.773749437	0.130825894
1553547_at_1553547_at	1553547_at	1553547_at	-0.538512614	0.106477469
1553579_a_at_1553579_a_at	1553579_a_at	1553579_a_at	-1.370909512	0.194196131
1553582_a_at_1553582_a_at	1553582_a_at	1553582_a_at	0.872846489	0.322970384
1553588_at_1553588_at	1553588_at	1553588_at	1.496388969	0.160077123
1553590_at_1553590_at	1553590_at	1553590_at	0.22117042	0.359118538
1553614_a_at_1553614_a_at	1553614_a_at	1553614_a_at	-0.434879755	0.742171649
1553618_at_1553618_at	1553618_at	1553618_at	0.276870444	0.784542823
1553619_a_at_1553619_a_at	1553619_a_at	1553619_a_at	-1.478592479	0.110054673
1553817_at_1553817_at	1553817_at	1553817_at	-1.585502779	0.108851993
1553818_x_at_1553818_x_at	1553818_x_at	1553818_x_at	-1.663862174	0.016905373
1553830_s_at_1553830_s_at	1553830_s_at	1553830_s_at	0.063672963	0.53838408
