	X54675	X54675.1	paclitaxel.coeff	paclitaxel.pvalue
1/2-SBSRNA4_1569713_at	1/2-SBSRNA4	1569713_at	0.415529182	0.693663011
1552411_at_1552411_at	1552411_at	1552411_at	0.812480319	0.60007987
1552412_a_at_1552412_a_at	1552412_a_at	1552412_a_at	3.129608982	0.392247417
1552511_a_at_1552511_a_at	1552511_a_at	1552511_a_at	-1.96463789	0.294554375
1552563_a_at_1552563_a_at	1552563_a_at	1552563_a_at	-0.313683857	0.842988864
1552607_at_1552607_at	1552607_at	1552607_at	-1.058955199	0.497313338
1552609_s_at_1552609_s_at	1552609_s_at	1552609_s_at	2.26895246	0.449797581
1552622_s_at_1552622_s_at	1552622_s_at	1552622_s_at	0.605838805	0.311232815
1552641_s_at_1552641_s_at	1552641_s_at	1552641_s_at	-1.629527342	0.024409854
1552703_s_at_1552703_s_at	1552703_s_at	1552703_s_at	-0.786571946	0.034600065
1552717_s_at_1552717_s_at	1552717_s_at	1552717_s_at	-1.254591766	0.165797449
1552735_at_1552735_at	1552735_at	1552735_at	0.266005186	0.461386223
1552806_a_at_1552806_a_at	1552806_a_at	1552806_a_at	3.373294714	0.33002621
1552829_at_1552829_at	1552829_at	1552829_at	1.137797685	0.19360109
1552867_at_1552867_at	1552867_at	1552867_at	1.046576652	0.061053902
1552961_at_1552961_at	1552961_at	1552961_at	2.573199816	0.233160977
1552972_at_1552972_at	1552972_at	1552972_at	-0.969446458	0.349440515
1552974_at_1552974_at	1552974_at	1552974_at	-2.919148606	0.314978183
1552975_x_at_1552975_x_at	1552975_x_at	1552975_x_at	-4.757834257	0.298521558
1553002_at_1553002_at	1553002_at	1553002_at	4.794601407	0.062240074
1553083_at_1553083_at	1553083_at	1553083_at	2.784504949	0.074548474
1553269_at_1553269_at	1553269_at	1553269_at	1.325777769	0.004683541
1553275_s_at_1553275_s_at	1553275_s_at	1553275_s_at	-1.005837046	0.032070738
1553340_s_at_1553340_s_at	1553340_s_at	1553340_s_at	1.505807988	0.556157603
1553355_at_1553355_at	1553355_at	1553355_at	-2.495194532	0.301912308
1553356_at_1553356_at	1553356_at	1553356_at	3.505335413	0.411150757
1553366_s_at_1553366_s_at	1553366_s_at	1553366_s_at	3.072711107	0.153674739
1553372_at_1553372_at	1553372_at	1553372_at	-4.037205479	0.113300486
1553398_at_1553398_at	1553398_at	1553398_at	-3.587357612	0.246554041
1553432_s_at_1553432_s_at	1553432_s_at	1553432_s_at	2.55709982	0.556837642
