	X54675	X54675.1	docetaxel.coeff	docetaxel.pvalue
1/2-SBSRNA4_1569713_at	1/2-SBSRNA4	1569713_at	1.798650861	0.458607911
1552411_at_1552411_at	1552411_at	1552411_at	4.729583994	0.040216819
1552412_a_at_1552412_a_at	1552412_a_at	1552412_a_at	-2.023557138	0.732627436
1552511_a_at_1552511_a_at	1552511_a_at	1552511_a_at	3.54298473	0.56664913
1552563_a_at_1552563_a_at	1552563_a_at	1552563_a_at	0.544913992	0.803824186
1552607_at_1552607_at	1552607_at	1552607_at	-0.613176734	0.797327543
1552609_s_at_1552609_s_at	1552609_s_at	1552609_s_at	-7.36178829	0.172317661
1552622_s_at_1552622_s_at	1552622_s_at	1552622_s_at	0.503128411	0.673326641
1552641_s_at_1552641_s_at	1552641_s_at	1552641_s_at	-1.972103724	0.03999764
1552703_s_at_1552703_s_at	1552703_s_at	1552703_s_at	-1.631259627	0.013464129
1552717_s_at_1552717_s_at	1552717_s_at	1552717_s_at	-1.061545402	0.505948013
1552735_at_1552735_at	1552735_at	1552735_at	-0.295844308	0.653492556
1552806_a_at_1552806_a_at	1552806_a_at	1552806_a_at	7.080595921	0.119452432
1552829_at_1552829_at	1552829_at	1552829_at	2.487326178	0.099391159
1552867_at_1552867_at	1552867_at	1552867_at	1.645630171	0.08213619
1552961_at_1552961_at	1552961_at	1552961_at	2.157252056	0.471755866
1552972_at_1552972_at	1552972_at	1552972_at	-3.815522615	0.089620261
1552974_at_1552974_at	1552974_at	1552974_at	-19.5170635	0.015202628
1552975_x_at_1552975_x_at	1552975_x_at	1552975_x_at	-3.336112258	0.579167039
1553002_at_1553002_at	1553002_at	1553002_at	9.954024389	0.008178959
1553083_at_1553083_at	1553083_at	1553083_at	6.042810036	0.002116457
1553269_at_1553269_at	1553269_at	1553269_at	1.373249937	0.025184652
1553275_s_at_1553275_s_at	1553275_s_at	1553275_s_at	-1.306068626	0.033903725
1553340_s_at_1553340_s_at	1553340_s_at	1553340_s_at	2.563738778	0.48129741
1553355_at_1553355_at	1553355_at	1553355_at	-4.52187629	0.241447369
1553356_at_1553356_at	1553356_at	1553356_at	6.137412757	0.416143457
1553366_s_at_1553366_s_at	1553366_s_at	1553366_s_at	4.993450183	0.09956161
1553372_at_1553372_at	1553372_at	1553372_at	-9.750046828	0.009805549
1553398_at_1553398_at	1553398_at	1553398_at	1.482389546	0.753445542
1553432_s_at_1553432_s_at	1553432_s_at	1553432_s_at	-0.843363264	0.89771426
1553439_at_1553439_at	1553439_at	1553439_at	-0.769386304	0.857571534
1553456_at_1553456_at	1553456_at	1553456_at	3.410304142	0.540366479
1553462_at_1553462_at	1553462_at	1553462_at	-10.57609424	0.06277922
1553468_at_1553468_at	1553468_at	1553468_at	-9.554735445	0.160154346
1553498_at_1553498_at	1553498_at	1553498_at	9.975982761	0.015680677
1553518_at_1553518_at	1553518_at	1553518_at	2.892200031	0.642722546
1553521_at_1553521_at	1553521_at	1553521_at	1.222456211	0.852737884
1553547_at_1553547_at	1553547_at	1553547_at	2.673430953	0.3333611
1553579_a_at_1553579_a_at	1553579_a_at	1553579_a_at	3.623861136	0.62084223
1553582_a_at_1553582_a_at	1553582_a_at	1553582_a_at	-4.915523778	0.453403847
1553588_at_1553588_at	1553588_at	1553588_at	15.66742059	0.092222598
1553590_at_1553590_at	1553590_at	1553590_at	-1.559845422	0.50812885
1553614_a_at_1553614_a_at	1553614_a_at	1553614_a_at	0.080151749	0.974866464
1553618_at_1553618_at	1553618_at	1553618_at	-0.74831509	0.390971549
1553619_a_at_1553619_a_at	1553619_a_at	1553619_a_at	-0.266124776	0.746352405
1553817_at_1553817_at	1553817_at	1553817_at	-14.08143618	2.70919E-05
1553818_x_at_1553818_x_at	1553818_x_at	1553818_x_at	-8.092242856	0.058928209
1553830_s_at_1553830_s_at	1553830_s_at	1553830_s_at	-0.251067221	0.343138699
1553882_at_1553882_at	1553882_at	1553882_at	2.634900015	0.019673217
1553900_s_at_1553900_s_at	1553900_s_at	1553900_s_at	0.996231323	0.861610458
1553967_at_1553967_at	1553967_at	1553967_at	-1.250792294	0.651690398
1553968_a_at_1553968_a_at	1553968_a_at	1553968_a_at	-1.775647166	0.327617492
1553979_at_1553979_at	1553979_at	1553979_at	1.778597939	0.352647956
1553998_at_1553998_at	1553998_at	1553998_at	1.703680498	0.674355144
1554007_at_1554007_at	1554007_at	1554007_at	0.230134607	0.674884279
1554042_s_at_1554042_s_at	1554042_s_at	1554042_s_at	3.127549076	0.470217688
1554043_a_at_1554043_a_at	1554043_a_at	1554043_a_at	-1.104042493	0.376713773
